date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:24:46	285/285	---M--	403	error ('Forbidden')	text/html	date:Mon,%2015%20Aug%202022%2014:24:52%20GMT	https://themes.3rdwavemedia.com/robots.txt		(from )
20:24:47	26482/26482	---M-Z	200	added ('OK')	text/html	etag:%226772-5dfc4bb22f293-gzip%22	https://themes.3rdwavemedia.com/devcard/bs5/2.0/	I:/portfolio/devcard/themes.3rdwavemedia.com/devcard/bs5/2.0/index.html	(from )
20:24:47	1150/1150	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%2247e-5c2645c2bbafa%22	https://themes.3rdwavemedia.com/devcard/bs5/2.0/favicon.ico	I:/portfolio/devcard/themes.3rdwavemedia.com/devcard/bs5/2.0/favicon.ico	(from https://themes.3rdwavemedia.com/devcard/bs5/2.0/)
20:24:48	2178/2178	---M-Z	200	added ('OK')	text/css	etag:%22882-5c2646f878fee-gzip%22	https://themes.3rdwavemedia.com/devcard/bs5/2.0/assets/plugins/tiny-slider/tiny-slider.css	I:/portfolio/devcard/themes.3rdwavemedia.com/devcard/bs5/2.0/assets/plugins/tiny-slider/tiny-slider.css	(from https://themes.3rdwavemedia.com/devcard/bs5/2.0/)
20:24:49	181662/181662	---M-Z	200	added ('OK')	text/css	etag:%222c59e-5dfc4a45f0a59-gzip%22	https://themes.3rdwavemedia.com/devcard/bs5/2.0/assets/css/theme-1.css	I:/portfolio/devcard/themes.3rdwavemedia.com/devcard/bs5/2.0/assets/css/theme-1.css	(from https://themes.3rdwavemedia.com/devcard/bs5/2.0/)
20:24:50	26482/26482	---M-Z	200	added ('OK')	text/html	etag:%226772-5dfc4bb22f293-gzip%22	https://themes.3rdwavemedia.com/devcard/bs5/2.0/index.html	I:/portfolio/devcard/themes.3rdwavemedia.com/devcard/bs5/2.0/index-2.html	(from https://themes.3rdwavemedia.com/devcard/bs5/2.0/)
20:24:51	17479/17479	---M-Z	200	added ('OK')	text/html	etag:%224447-5c2646e96f0cf-gzip%22	https://themes.3rdwavemedia.com/devcard/bs5/2.0/portfolio.html	I:/portfolio/devcard/themes.3rdwavemedia.com/devcard/bs5/2.0/portfolio.html	(from https://themes.3rdwavemedia.com/devcard/bs5/2.0/)
20:24:51	25132/25132	---M-Z	200	added ('OK')	text/html	etag:%22622c-5c2646fae3753-gzip%22	https://themes.3rdwavemedia.com/devcard/bs5/2.0/services.html	I:/portfolio/devcard/themes.3rdwavemedia.com/devcard/bs5/2.0/services.html	(from https://themes.3rdwavemedia.com/devcard/bs5/2.0/)
20:24:52	21361/21361	---M-Z	200	added ('OK')	text/html	etag:%225371-5c6ff72732eb2-gzip%22	https://themes.3rdwavemedia.com/devcard/bs5/2.0/resume.html	I:/portfolio/devcard/themes.3rdwavemedia.com/devcard/bs5/2.0/resume.html	(from https://themes.3rdwavemedia.com/devcard/bs5/2.0/)
20:24:52	13107/13107	---M-Z	200	added ('OK')	text/html	etag:%223333-5c2645c2f1e3d-gzip%22	https://themes.3rdwavemedia.com/devcard/bs5/2.0/blog-home.html	I:/portfolio/devcard/themes.3rdwavemedia.com/devcard/bs5/2.0/blog-home.html	(from https://themes.3rdwavemedia.com/devcard/bs5/2.0/)
20:24:53	78058/78058	---M--	200	added ('OK')	image/png	etag:%22130ea-5c2646d0b7d6b%22	https://themes.3rdwavemedia.com/devcard/bs5/2.0/assets/images/profile.png	I:/portfolio/devcard/themes.3rdwavemedia.com/devcard/bs5/2.0/assets/images/profile.png	(from https://themes.3rdwavemedia.com/devcard/bs5/2.0/)
20:24:54	10934/10934	---M-Z	200	added ('OK')	text/html	etag:%222ab6-5c2645c2f8ba0-gzip%22	https://themes.3rdwavemedia.com/devcard/bs5/2.0/contact.html	I:/portfolio/devcard/themes.3rdwavemedia.com/devcard/bs5/2.0/contact.html	(from https://themes.3rdwavemedia.com/devcard/bs5/2.0/)
20:24:54	15973/15973	---M-Z	200	added ('OK')	text/html	etag:%223e65-5c2646e9c5ba6-gzip%22	https://themes.3rdwavemedia.com/devcard/bs5/2.0/project.html	I:/portfolio/devcard/themes.3rdwavemedia.com/devcard/bs5/2.0/project.html	(from https://themes.3rdwavemedia.com/devcard/bs5/2.0/)
20:24:54	14291/14291	---M-Z	200	added ('OK')	text/html	etag:%2237d3-5c2645c2f8ba0-gzip%22	https://themes.3rdwavemedia.com/devcard/bs5/2.0/blog-home-alt.html	I:/portfolio/devcard/themes.3rdwavemedia.com/devcard/bs5/2.0/blog-home-alt.html	(from https://themes.3rdwavemedia.com/devcard/bs5/2.0/)
20:24:55	15542/15542	---M-Z	200	added ('OK')	text/html	etag:%223cb6-5dfc900a50591-gzip%22	https://themes.3rdwavemedia.com/devcard/bs5/2.0/blog-post.html	I:/portfolio/devcard/themes.3rdwavemedia.com/devcard/bs5/2.0/blog-post.html	(from https://themes.3rdwavemedia.com/devcard/bs5/2.0/)
